잔여표시관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,잔여표시관리번호,연번-이력ID,위치정보,FRM_CDE,MNG_AGEN,XGEO,A074_RGB_CDE
25-0000000770,02-0000006085,0  ,20070601,20140224,194270.66605,550480.91854,관급,006,001,0  ,-,001,2013-0101-099,25-000770,439,1,003,-,,001
25-0000010734,02-0000178647,354,20131226  ,20131226  ,200663.325000004,548184.343743706,아이엔티티,001,002,0  ,4212983    ,001,2012-0401-001,25-010734,13051,1,001,-,,001
25-0000009802,02-0000011654,190,20131226  ,20131226  ,192615.623693552,551217.978438852,아이엔티티,001,002,0  ,2258899    ,001,2012-0401-001,25-009802,12119,1,001,-,,001
25-0000007747,02-0000169697,225,20120110  ,20211219  ,192190.34999995,557149.943744631,태대,001,002,1  ,24500710   ,001,2021-0501-008,25-007747,10992,1,002,-,,001
25-0000011539,02-0000174102,100,20140729  ,20140729  ,192761.364700606,549823.348778954,-,001,002,0  ,2266112    ,001,-,25-011539,13856,1,001,-,,001
25-0000011546,02-0000175526,217,20140730  ,20140730  ,193961.917770625,550842.905624854,-,001,002,0  ,2288514    ,001,-,25-011546,13863,1,001,-,,001
25-0000006817,02-0000112474,347,20140620  ,20140620  ,204450.310138531,565148.985768421,-,001,002,0  ,4596571    ,001,2014-1801-002,25-006817,7294,1,004,-,,001
25-0000011699,02-0000179667,91 ,20141110  ,20141110  ,195742.09663,550844.9564,INTT,006,002,1  ,3228116    ,001,2014-0201-018,25-011699,14016,1,001,-,,001
25-0000002443,02-0000124872,0  ,20081118,20081128,197936.1968,551612.96623,-,006,001,1  ,-,001,2010-1112-025,25-002443,7900,1,003,-,,001
25-0000011634,02-0000179520,143,20140826  ,20140826  ,211580.504204161,543230.361436768,-,006,002,1  ,61328910   ,001,2014-0201-025,25-011634,13951,1,004,-,,001
25-0000021010,02-0000222866,-,-,-,-,-,-,001,002,1  ,4374775    ,001,-,25-021010,23327,-,001,-,,001
25-0000008017,02-0000171382,0  ,20070601,20070601,199132.82943,552052.02386,-,006,001,0  ,-,001,2014-0101-049,25-008017,11179,1,003,-,,001
25-0000011694,02-0000124026,23 ,-,-,200595.30829,552215.64509,-,006,001,0  ,4310895    ,001,2014-0101-049,25-011694,14011,1,003,-,,001
